id,area,bedrooms,bathrooms,stories,parking,location,furnishing,age_years,amenities_score,price
756,4195,3,3,2,3,Old Town,Unfurnished,12,2,12901509.43
757,1635,5,4,1,2,Old Town,Semi-Furnished,31,8,5227567.51
758,1369,1,1,2,2,Industrial Zone,Fully-Furnished,40,7,2911962.03
759,3177,3,3,2,3,Riverside,Unfurnished,7,4,14006665.57
760,4425,1,1,4,3,Industrial Zone,Fully-Furnished,30,1,10308161.61
761,3452,5,1,3,1,Old Town,Unfurnished,9,5,10831957.01
762,3289,2,2,2,0,Industrial Zone,Semi-Furnished,26,10,9220493.18
763,1908,1,1,3,0,Tech Park Area,Unfurnished,40,2,5740171.61
764,2902,2,2,3,2,Industrial Zone,Semi-Furnished,23,1,6858578.52
765,1890,2,1,2,2,Hill View,Semi-Furnished,26,5,9084543.34
766,1117,1,1,2,1,Riverside,Fully-Furnished,39,8,4480324.38
767,3368,5,5,1,3,Countryside,Unfurnished,7,2,9076633.19
768,2414,3,3,3,1,Countryside,Fully-Furnished,33,5,5188134.62
769,1697,1,1,2,1,Suburb South,Fully-Furnished,14,4,5602478.72
770,983,1,1,1,0,Downtown,Semi-Furnished,27,0,3334627.36
771,584,6,5,1,3,Suburb North,Semi-Furnished,2,1,2566524.83
772,492,1,1,2,1,Suburb South,Fully-Furnished,22,0,1385148.47
773,3914,6,3,3,2,Suburb South,Fully-Furnished,39,3,12969919.09
774,729,1,1,2,1,Industrial Zone,Unfurnished,34,0,1402023.94
775,854,2,2,4,2,Old Town,Unfurnished,28,10,2589084.74
776,1190,3,3,4,1,Tech Park Area,Unfurnished,26,1,4604811.23
777,1737,1,1,1,1,Countryside,Semi-Furnished,18,8,4035505.48
778,786,3,3,1,3,Industrial Zone,Semi-Furnished,38,4,1776857.32
779,3895,4,2,4,2,City Center,Unfurnished,4,7,26003376.04
780,1955,2,1,4,0,City Center,Semi-Furnished,33,10,9833921.6
781,938,2,2,4,0,Suburb South,Unfurnished,23,3,2566007.38
782,2886,4,1,2,3,Countryside,Semi-Furnished,37,9,5769337.24
783,3683,6,4,3,3,Old Town,Semi-Furnished,31,8,11456786.45
784,3595,4,1,1,2,Countryside,Semi-Furnished,14,10,10257972.8
785,571,1,1,1,3,Downtown,Unfurnished,24,9,2461697.91
786,1075,3,1,1,3,Countryside,Unfurnished,18,10,2455059.65
787,2517,3,3,1,0,City Center,Unfurnished,24,7,11561479.79
788,1991,4,4,1,0,Suburb South,Fully-Furnished,19,2,7327556.49
789,1000,3,3,4,0,Old Town,Fully-Furnished,31,10,3403070.18
790,2659,5,4,4,1,Tech Park Area,Unfurnished,25,4,11229679.61
791,4426,4,4,3,2,Hill View,Unfurnished,1,9,25026745.22
792,3878,3,3,1,2,City Center,Unfurnished,27,5,19404408.59
793,2137,3,1,2,1,Riverside,Fully-Furnished,19,9,9753954.24
794,3268,1,1,1,2,Suburb South,Unfurnished,34,5,7224471.04
795,3144,4,4,4,2,Downtown,Fully-Furnished,30,9,16136560.98
796,1746,4,4,4,2,Old Town,Unfurnished,31,1,4550262.4
797,1293,3,3,3,1,Old Town,Semi-Furnished,23,6,3685835.63
798,3052,1,1,3,2,Downtown,Semi-Furnished,36,6,12491167.58
799,3008,6,1,1,2,Industrial Zone,Unfurnished,36,8,6801579.59
800,1309,3,1,3,2,City Center,Fully-Furnished,34,5,6277707.41
801,2097,3,3,2,0,Tech Park Area,Unfurnished,36,7,7026252.75
802,4390,6,4,3,3,Old Town,Fully-Furnished,40,0,12529959.13
803,1942,4,2,2,1,Industrial Zone,Semi-Furnished,26,5,5274704.64
804,4182,1,1,4,2,Industrial Zone,Fully-Furnished,10,4,13161409.57
805,1417,4,2,1,1,Riverside,Unfurnished,15,4,5640399.27
806,2743,4,4,1,1,Suburb South,Semi-Furnished,8,0,9210752.0
807,3741,3,2,1,3,Downtown,Unfurnished,5,5,18985528.11
808,4001,1,1,3,0,City Center,Fully-Furnished,8,3,21611063.41
809,3458,5,1,3,3,Suburb North,Unfurnished,38,1,10104539.38
810,1733,3,3,2,3,Riverside,Unfurnished,6,2,7005260.62
811,1574,4,4,3,0,Countryside,Fully-Furnished,23,1,3716166.28
812,2185,4,2,3,1,Hill View,Semi-Furnished,23,4,9589678.05
813,4410,5,1,1,1,Industrial Zone,Fully-Furnished,24,4,12784763.73
814,3319,3,1,2,3,City Center,Unfurnished,25,4,14341770.3
815,4285,2,2,2,1,Countryside,Fully-Furnished,20,10,11323315.93
816,588,3,1,4,3,City Center,Semi-Furnished,27,1,2917462.61
817,3310,3,1,3,3,Old Town,Fully-Furnished,35,5,9467636.19
818,562,1,1,4,1,Downtown,Semi-Furnished,12,10,2847129.67
819,2808,1,1,2,1,Tech Park Area,Fully-Furnished,8,9,15749646.96
820,3696,3,3,4,1,Industrial Zone,Unfurnished,37,5,8285585.81
821,1263,1,1,3,1,City Center,Semi-Furnished,36,3,4587166.65
822,544,5,5,2,0,Countryside,Unfurnished,16,2,1119304.66
823,2981,4,4,3,1,Suburb North,Semi-Furnished,10,9,12819567.42
824,3393,5,4,4,3,Suburb North,Unfurnished,13,3,14713003.24
825,3781,3,3,4,3,Suburb South,Semi-Furnished,13,9,14458046.25
826,3825,3,2,4,1,City Center,Unfurnished,1,4,24053961.28
827,1414,5,4,2,2,Old Town,Fully-Furnished,29,1,3971861.49
828,995,3,3,2,3,City Center,Fully-Furnished,38,4,4507737.6
829,2731,1,1,3,1,Countryside,Semi-Furnished,38,10,5752363.48
830,2900,6,6,1,0,Industrial Zone,Fully-Furnished,39,6,7739231.36
831,2066,6,3,2,0,Old Town,Unfurnished,16,2,6044874.44
832,4260,3,3,2,0,Hill View,Fully-Furnished,33,6,19466464.47
833,928,3,1,2,3,Industrial Zone,Fully-Furnished,23,6,2572232.1
834,4041,3,3,3,3,Suburb South,Semi-Furnished,31,2,12081159.3
835,4230,6,6,4,0,Riverside,Unfurnished,3,3,20285618.63
836,2376,3,2,4,3,Suburb North,Semi-Furnished,2,7,10765737.3
837,3354,5,4,4,3,Suburb North,Fully-Furnished,9,1,15713375.61
838,1284,3,2,2,2,Old Town,Fully-Furnished,37,3,3534472.29
839,4429,1,1,4,0,Riverside,Semi-Furnished,6,5,17953565.69
840,3240,6,1,4,2,Old Town,Unfurnished,20,2,8348777.08
841,2335,6,6,4,3,Industrial Zone,Fully-Furnished,0,5,10898106.7
842,3137,5,4,3,1,Riverside,Unfurnished,18,5,14494835.05
843,3496,1,1,1,3,Industrial Zone,Unfurnished,15,6,7669688.49
844,3941,2,1,4,3,Industrial Zone,Fully-Furnished,9,1,11359852.49
845,3731,4,3,2,2,Suburb North,Semi-Furnished,32,3,12305587.23
846,4076,4,4,3,3,Suburb North,Semi-Furnished,23,9,16091857.16
847,3033,4,1,1,2,Countryside,Fully-Furnished,14,10,9236654.61
848,1085,4,4,1,2,Countryside,Semi-Furnished,5,7,2969504.33
849,4481,2,2,3,1,Tech Park Area,Semi-Furnished,18,9,19159848.89
850,763,1,1,4,3,Suburb North,Semi-Furnished,36,4,2195878.04
851,2848,1,1,1,3,Suburb South,Unfurnished,25,0,6415631.82
852,4041,6,3,3,3,Countryside,Fully-Furnished,16,5,13291609.16
853,4019,2,1,2,0,Old Town,Semi-Furnished,6,6,13069554.6
854,473,4,1,1,1,Countryside,Semi-Furnished,25,10,1209164.4
855,2915,6,4,3,2,City Center,Semi-Furnished,5,2,17591262.31
856,1231,1,1,2,0,Riverside,Semi-Furnished,9,10,5402123.85
857,3899,6,6,2,0,Industrial Zone,Semi-Furnished,9,7,13265252.08
858,927,2,1,4,3,Countryside,Unfurnished,28,9,1818749.8
859,1657,5,4,1,2,Downtown,Unfurnished,40,6,7067709.97
860,3925,4,4,3,0,Countryside,Semi-Furnished,31,8,9165862.49
861,2954,6,6,4,1,Downtown,Fully-Furnished,1,6,22811578.7
862,2716,1,1,4,3,Suburb North,Semi-Furnished,39,10,8377242.61
863,3307,4,1,2,2,Riverside,Semi-Furnished,22,7,13549936.76
864,1349,5,5,3,3,Suburb South,Semi-Furnished,24,6,5389731.27
865,3207,6,6,3,3,Suburb South,Fully-Furnished,13,4,15603843.88
866,803,6,4,2,1,Riverside,Unfurnished,38,7,2745909.32
867,2153,4,3,2,1,Tech Park Area,Unfurnished,1,5,11491166.09
868,1912,6,2,2,0,Suburb North,Semi-Furnished,27,1,6646441.06
869,944,5,2,4,2,Hill View,Semi-Furnished,2,8,5951962.85
870,1069,6,6,1,0,Countryside,Semi-Furnished,7,1,3033745.11
871,2947,1,1,1,1,Suburb North,Unfurnished,23,2,8706631.02
872,3350,4,4,4,0,Suburb South,Fully-Furnished,23,5,13964970.23
873,953,2,2,4,0,Riverside,Semi-Furnished,21,4,3846381.23
874,799,3,3,4,2,Riverside,Unfurnished,33,6,3073668.99
875,1015,4,4,4,3,Tech Park Area,Fully-Furnished,23,0,4843983.68
876,3604,1,1,1,2,Hill View,Semi-Furnished,10,6,16508473.47
877,3559,1,1,1,2,City Center,Semi-Furnished,35,4,15088935.82
878,1734,3,1,3,1,City Center,Semi-Furnished,13,8,10403758.55
879,2982,6,4,3,3,Riverside,Semi-Furnished,5,0,15191781.15
880,2047,6,6,2,2,Riverside,Unfurnished,32,8,8340337.79
881,1845,6,2,1,0,Tech Park Area,Fully-Furnished,16,3,10148851.8
882,1694,6,4,1,0,Hill View,Semi-Furnished,40,8,7517998.65
883,645,6,1,4,2,Old Town,Fully-Furnished,0,7,2821132.98
884,1417,6,5,2,2,Industrial Zone,Semi-Furnished,36,10,3677051.64
885,1996,5,5,2,0,Hill View,Fully-Furnished,37,3,10366603.26
886,1929,4,1,2,3,City Center,Unfurnished,5,0,9762283.41
887,982,4,2,4,0,Hill View,Fully-Furnished,33,6,5103382.57
888,2575,4,3,4,3,Countryside,Fully-Furnished,31,6,6972911.04
889,1041,5,2,4,3,Suburb South,Fully-Furnished,32,8,3689240.13
890,1320,4,4,1,1,Tech Park Area,Semi-Furnished,7,9,7807086.77
891,901,1,1,3,0,Tech Park Area,Unfurnished,7,5,3632516.1
892,1983,3,3,4,0,Suburb South,Unfurnished,37,6,4872206.11
893,4112,3,3,2,1,Countryside,Unfurnished,7,8,10043288.78
894,4015,1,1,4,2,Old Town,Semi-Furnished,21,6,11502233.52
895,3399,5,2,2,3,Countryside,Fully-Furnished,28,2,8702456.12
896,1782,1,1,4,1,City Center,Semi-Furnished,34,0,7645656.88
897,4095,4,3,1,1,Downtown,Fully-Furnished,40,4,17925438.44
898,957,6,5,1,1,Old Town,Fully-Furnished,36,0,3014728.58
899,2587,2,2,1,0,Tech Park Area,Unfurnished,1,4,12067137.75
900,1454,6,6,4,0,Tech Park Area,Fully-Furnished,20,6,8737736.46
901,2463,1,1,4,1,City Center,Unfurnished,33,5,9670687.72
902,822,1,1,2,2,Suburb South,Unfurnished,16,1,2100884.95
903,4350,4,2,1,2,Suburb South,Unfurnished,3,4,15124301.19
904,1760,2,2,3,2,City Center,Unfurnished,3,3,8956263.72
905,2895,5,2,4,3,Suburb North,Semi-Furnished,3,5,13540616.26
906,2117,1,1,1,3,Riverside,Unfurnished,17,8,8996037.06
907,3215,1,1,2,2,Old Town,Semi-Furnished,28,1,8168984.81
908,2499,2,1,3,1,Riverside,Fully-Furnished,27,8,11046412.6
909,454,4,4,3,1,Downtown,Unfurnished,30,4,1927803.56
910,3888,6,4,3,1,Old Town,Fully-Furnished,18,0,12713884.49
911,2637,5,1,3,0,City Center,Fully-Furnished,7,2,17828362.22
912,1594,4,2,3,2,Industrial Zone,Fully-Furnished,28,4,4231769.94
913,4476,3,3,2,3,Old Town,Semi-Furnished,1,2,15847034.13
914,458,5,4,1,0,Suburb South,Semi-Furnished,35,7,1516293.54
915,2654,1,1,1,3,Suburb North,Semi-Furnished,24,9,9073162.12
916,1175,6,1,1,3,Hill View,Unfurnished,28,0,4465424.75
917,531,3,3,2,0,Old Town,Fully-Furnished,19,3,1638455.56
918,2472,3,1,3,3,Old Town,Unfurnished,0,3,8606757.36
919,3065,4,1,3,3,Suburb South,Fully-Furnished,12,10,14585002.74
920,3203,6,5,2,0,Old Town,Unfurnished,4,2,10269208.44
921,2784,2,2,3,1,Downtown,Fully-Furnished,34,9,12798287.26
922,2744,4,1,4,0,Hill View,Semi-Furnished,26,4,11769784.95
923,2572,4,4,3,0,Riverside,Unfurnished,17,6,11186285.17
924,1745,1,1,2,2,Suburb North,Fully-Furnished,1,3,8350349.73
925,2185,1,1,2,1,Hill View,Semi-Furnished,4,10,12738869.58
926,564,4,4,1,2,Industrial Zone,Unfurnished,6,7,1603931.96
927,1845,1,1,2,0,Old Town,Fully-Furnished,28,1,4934841.74
928,2821,1,1,1,0,City Center,Semi-Furnished,4,2,13263005.45
929,3736,4,1,3,3,Suburb North,Unfurnished,3,8,14637439.69
930,3931,4,4,1,3,Riverside,Fully-Furnished,39,0,14572033.32
931,2351,4,4,1,2,Downtown,Semi-Furnished,33,5,10477943.07
932,892,1,1,1,1,Old Town,Unfurnished,40,8,1803895.05
933,2174,4,4,4,1,Riverside,Unfurnished,2,0,9058078.78
934,2844,4,4,3,2,Old Town,Fully-Furnished,9,2,10715213.82
935,2921,3,3,3,0,Tech Park Area,Fully-Furnished,9,0,13892330.06
936,3805,5,1,4,2,Riverside,Unfurnished,40,3,12989403.42
937,1848,2,2,4,3,Old Town,Fully-Furnished,21,9,6740312.16
938,1824,5,3,4,2,Suburb South,Unfurnished,29,0,5159452.36
939,4218,1,1,2,3,Old Town,Unfurnished,15,7,12355918.24
940,4351,3,3,2,3,Suburb South,Unfurnished,23,0,11133919.95
941,572,5,1,2,2,Countryside,Unfurnished,40,9,1171704.71
942,1924,1,1,2,1,Industrial Zone,Unfurnished,14,4,4647726.4
943,1841,5,2,2,1,Downtown,Unfurnished,16,1,7321426.4
944,3224,2,2,1,2,Riverside,Semi-Furnished,29,3,11202776.5
945,1975,6,2,4,0,Suburb North,Unfurnished,8,3,7393594.51
946,1999,6,3,3,3,Riverside,Unfurnished,39,9,7238746.53
947,2643,3,2,3,1,Downtown,Fully-Furnished,17,2,14714626.92
948,4416,5,4,2,0,Countryside,Fully-Furnished,39,1,8621165.68
949,2039,6,6,3,3,Tech Park Area,Semi-Furnished,11,5,12133700.07
950,2602,6,4,4,3,Industrial Zone,Fully-Furnished,25,10,10129333.82
951,2841,6,1,2,1,Riverside,Semi-Furnished,15,6,12705346.45
952,2190,4,4,2,2,Industrial Zone,Fully-Furnished,5,2,7844777.73
953,1658,4,4,3,1,Old Town,Unfurnished,29,8,4833206.5
954,2195,4,4,4,3,Hill View,Semi-Furnished,20,4,11504326.92
955,1185,4,2,3,0,Hill View,Unfurnished,18,8,5918248.42
956,3086,1,1,2,0,Suburb North,Unfurnished,23,0,8500946.66
957,1817,2,2,3,2,Industrial Zone,Fully-Furnished,17,3,5472223.32
958,1014,6,6,3,0,Industrial Zone,Semi-Furnished,22,6,3378342.15
959,3816,5,5,1,3,Tech Park Area,Unfurnished,25,3,14888627.22
960,3518,2,2,2,3,Countryside,Semi-Furnished,5,5,9662279.14
961,2206,6,4,2,3,Countryside,Fully-Furnished,1,5,7034304.17
962,4028,2,2,1,3,Hill View,Semi-Furnished,14,6,20377016.4
963,3532,4,4,3,2,Old Town,Unfurnished,36,0,8798663.7
964,1079,3,3,4,1,City Center,Unfurnished,34,6,4506179.49
965,894,3,3,3,0,Suburb South,Unfurnished,35,2,2048985.97
966,3272,5,4,1,1,Riverside,Unfurnished,24,4,12087833.07
967,1642,6,5,1,3,Downtown,Semi-Furnished,33,0,6619562.73
968,3971,4,4,2,0,Suburb South,Fully-Furnished,26,7,15948586.83
969,2043,2,1,2,2,City Center,Fully-Furnished,30,2,10065467.01
970,4296,3,2,4,2,Riverside,Unfurnished,9,7,17962831.95
971,2085,5,2,3,3,Countryside,Semi-Furnished,36,0,4163616.87
972,1629,6,4,3,2,City Center,Fully-Furnished,11,6,11541438.04
973,4136,5,5,4,3,City Center,Fully-Furnished,11,9,30374997.21
974,3311,1,1,2,2,Tech Park Area,Semi-Furnished,4,3,16225608.96
975,2134,5,1,3,0,Suburb North,Fully-Furnished,20,6,9170238.54
976,1485,2,2,1,3,Downtown,Unfurnished,40,10,5827712.65
977,2011,3,3,2,3,Downtown,Unfurnished,16,1,9078200.53
978,1009,3,3,4,3,Suburb North,Unfurnished,35,10,3224229.16
979,4341,4,2,4,2,Suburb South,Unfurnished,1,9,16467919.43
980,1654,1,1,2,0,Downtown,Fully-Furnished,17,2,7689069.12
981,1178,2,2,1,1,Countryside,Fully-Furnished,3,10,3858624.17
982,3075,6,6,1,3,Industrial Zone,Semi-Furnished,3,9,10579960.57
983,3613,4,2,2,2,Riverside,Unfurnished,5,0,14760144.68
984,509,3,2,1,1,Suburb North,Fully-Furnished,10,2,1935588.43
985,2549,1,1,3,1,Old Town,Unfurnished,34,6,6273269.62
986,944,2,1,1,2,Hill View,Unfurnished,0,6,5028076.88
987,499,4,2,4,1,Suburb North,Fully-Furnished,17,10,2488071.59
988,629,1,1,4,2,Old Town,Semi-Furnished,6,8,2271156.18
989,4227,5,2,3,0,Old Town,Semi-Furnished,40,6,11333374.91
990,4432,6,2,3,1,Hill View,Fully-Furnished,30,1,21592279.25
991,2942,5,4,4,1,Tech Park Area,Fully-Furnished,0,3,16798108.51
992,3558,1,1,2,3,Riverside,Fully-Furnished,5,0,15186489.14
993,2492,3,2,2,3,Riverside,Fully-Furnished,2,3,14582597.86
994,2899,4,3,2,2,Hill View,Fully-Furnished,2,8,21917468.02
995,2149,6,6,3,0,Riverside,Fully-Furnished,21,5,11079810.74
996,2659,1,1,2,3,Tech Park Area,Semi-Furnished,11,7,12644999.39
997,714,4,1,2,0,Suburb South,Unfurnished,8,1,2096909.29
998,2698,2,1,1,3,Countryside,Semi-Furnished,10,3,5870399.01
999,1172,5,2,3,2,Old Town,Semi-Furnished,40,3,2795610.71
1000,3650,4,1,3,3,City Center,Unfurnished,30,7,16906168.99
1001,2946,6,4,2,3,Downtown,Semi-Furnished,27,1,14472194.89
1002,4224,3,2,2,2,City Center,Semi-Furnished,19,7,22331297.54
1003,2752,5,4,1,2,Suburb South,Fully-Furnished,30,3,9035897.09
1004,1226,1,1,3,3,City Center,Semi-Furnished,25,5,5720240.26
1005,1710,6,5,1,3,Downtown,Unfurnished,24,9,8199267.09
1006,3575,4,3,3,3,Hill View,Fully-Furnished,3,10,26230389.0
1007,2186,6,2,2,3,Downtown,Semi-Furnished,40,10,9086043.96
1008,3176,6,2,3,3,Suburb South,Semi-Furnished,15,9,13450534.47
1009,3164,2,1,1,0,City Center,Semi-Furnished,37,1,12012399.09
1010,1223,4,2,4,2,Industrial Zone,Fully-Furnished,34,10,3896499.02
1011,2850,3,3,1,0,Old Town,Semi-Furnished,9,4,9564629.15
1012,4259,6,4,3,0,Suburb South,Semi-Furnished,0,1,16074392.97
1013,3302,4,4,4,2,City Center,Unfurnished,11,5,17931260.75
1014,1000,2,2,2,0,Countryside,Fully-Furnished,13,2,2317468.92
1015,3521,2,1,3,3,Countryside,Fully-Furnished,39,1,7192292.37
1016,1130,1,1,1,3,Suburb North,Semi-Furnished,4,5,4022746.49
1017,1411,4,4,1,0,Downtown,Semi-Furnished,0,10,9128565.76
1018,4495,1,1,2,0,City Center,Fully-Furnished,33,4,22582143.77
1019,2388,3,3,3,2,Hill View,Semi-Furnished,15,5,13174781.56
1020,2000,5,1,3,2,Suburb North,Unfurnished,29,6,6948409.56
1021,4087,2,1,1,2,Riverside,Semi-Furnished,28,9,16685139.17
1022,4012,4,4,4,1,Downtown,Fully-Furnished,20,0,21680935.54
1023,4027,1,1,4,1,Old Town,Semi-Furnished,25,9,12313963.04
1024,1876,4,4,1,3,Industrial Zone,Fully-Furnished,12,2,6438753.05
1025,4039,5,5,1,1,Countryside,Unfurnished,19,10,11211942.32
1026,4493,4,2,4,0,Countryside,Fully-Furnished,34,3,9460802.24
1027,1148,6,6,1,0,City Center,Fully-Furnished,1,2,9273898.69
1028,1787,4,3,2,2,Countryside,Fully-Furnished,7,10,5453446.29
1029,2639,6,6,4,0,Hill View,Unfurnished,36,9,11687247.11
1030,1855,4,4,4,1,Riverside,Semi-Furnished,7,4,8629051.29
1031,815,3,2,1,2,Suburb South,Semi-Furnished,24,9,2903730.94
1032,1723,1,1,4,3,Hill View,Semi-Furnished,8,8,9928238.74
1033,2869,2,1,4,0,Tech Park Area,Semi-Furnished,20,2,12216368.45
1034,1665,2,2,4,1,Old Town,Semi-Furnished,9,10,6367834.25
1035,3840,6,1,3,2,Tech Park Area,Fully-Furnished,7,4,24737021.17
1036,3343,5,4,2,3,Industrial Zone,Fully-Furnished,24,0,10487552.77
1037,1814,2,2,2,1,Downtown,Unfurnished,31,6,6683939.02
1038,3788,6,6,2,0,Tech Park Area,Semi-Furnished,21,6,19903621.74
1039,1876,4,4,1,2,Industrial Zone,Fully-Furnished,12,8,6481421.69
1040,986,3,1,3,3,Suburb South,Fully-Furnished,8,7,4454765.29
1041,1642,2,1,2,1,Downtown,Semi-Furnished,36,1,6000955.37
1042,4498,2,2,4,1,Downtown,Unfurnished,22,7,18549461.71
1043,664,1,1,4,1,City Center,Unfurnished,2,1,3138656.27
1044,2451,3,2,4,0,Countryside,Fully-Furnished,24,4,6145685.81
1045,2273,3,1,1,0,Suburb North,Unfurnished,31,10,7396689.84
1046,2537,2,1,4,2,Suburb North,Fully-Furnished,11,6,11363900.34
1047,3090,6,4,3,1,Suburb North,Semi-Furnished,4,8,14692777.78
1048,3779,6,1,4,3,Suburb North,Fully-Furnished,37,8,15913665.86
1049,3686,6,1,2,0,Suburb South,Fully-Furnished,11,0,14344599.6
1050,3728,3,1,1,1,Old Town,Unfurnished,10,1,10102513.2
1051,3937,1,1,1,2,Hill View,Fully-Furnished,10,6,24252238.12
1052,3145,1,1,3,0,Tech Park Area,Semi-Furnished,34,7,10636652.41
1053,2458,6,3,3,1,Suburb North,Fully-Furnished,2,3,11556836.95
1054,1030,3,2,2,1,Old Town,Semi-Furnished,17,2,3104766.58
1055,2178,1,1,3,3,Suburb South,Semi-Furnished,29,1,6386912.15
1056,3221,4,2,2,0,Industrial Zone,Fully-Furnished,12,5,10460746.89
1057,3103,5,5,2,3,Suburb South,Semi-Furnished,27,6,10062139.07
1058,2922,2,1,3,0,Tech Park Area,Unfurnished,35,6,8946700.81
1059,3072,1,1,3,2,Suburb South,Unfurnished,17,0,7644413.42
1060,4461,2,2,1,0,Suburb South,Fully-Furnished,19,9,18099151.08
1061,2455,1,1,3,2,Old Town,Unfurnished,3,2,6728863.36
1062,3529,4,2,3,3,Countryside,Fully-Furnished,8,4,9397138.78
1063,2553,6,2,2,1,City Center,Fully-Furnished,17,0,16405979.27
1064,3068,3,2,4,3,Suburb South,Semi-Furnished,22,7,10848195.81
1065,1579,4,4,2,2,Suburb North,Semi-Furnished,26,5,6279370.52
1066,3049,1,1,2,0,Suburb South,Fully-Furnished,3,1,11727823.19
1067,2719,4,1,4,1,Countryside,Semi-Furnished,32,10,6790524.0
1068,4087,5,5,1,3,Downtown,Fully-Furnished,12,0,24653749.88
1069,3327,5,5,3,1,Tech Park Area,Fully-Furnished,38,0,14148026.44
1070,4401,2,2,2,1,Suburb North,Semi-Furnished,8,8,17872638.14
1071,658,4,4,4,1,Hill View,Unfurnished,21,10,3330945.01
1072,2658,1,1,3,3,Industrial Zone,Semi-Furnished,13,0,6771155.1
1073,2779,4,2,3,0,Countryside,Fully-Furnished,31,0,5754945.05
1074,2971,4,3,3,2,Suburb North,Unfurnished,22,2,9764274.78
1075,486,1,1,4,1,Suburb North,Fully-Furnished,32,2,1563290.05
1076,4190,4,1,2,2,Riverside,Semi-Furnished,25,5,16311355.1
1077,2204,2,2,3,0,Countryside,Fully-Furnished,28,2,4429755.17
1078,3510,4,1,3,1,Suburb North,Unfurnished,18,0,10378149.19
1079,2174,6,3,1,1,Riverside,Semi-Furnished,17,1,9284782.62
1080,2703,4,2,3,3,Tech Park Area,Fully-Furnished,24,2,11761951.48
1081,891,1,1,2,2,Tech Park Area,Unfurnished,15,0,3298382.79
1082,1851,4,4,1,3,Countryside,Semi-Furnished,18,7,4354484.74
1083,2206,2,2,2,1,Riverside,Semi-Furnished,7,4,10883516.9
1084,1463,6,6,4,1,Countryside,Fully-Furnished,6,8,5443676.42
1085,1222,5,5,2,1,Suburb North,Unfurnished,25,0,3796970.69
1086,1237,2,2,1,1,Suburb North,Unfurnished,24,6,3930215.64
1087,3317,6,2,2,2,City Center,Semi-Furnished,3,8,22901621.69
1088,661,3,1,3,2,Industrial Zone,Semi-Furnished,26,3,1521421.6
1089,644,2,1,1,0,Hill View,Unfurnished,18,7,2717532.67
1090,2934,1,1,2,2,Countryside,Semi-Furnished,21,4,5582390.62
1091,3190,1,1,3,2,Hill View,Fully-Furnished,37,8,14944198.28
1092,1425,6,3,2,3,Suburb North,Unfurnished,8,10,6883939.8
1093,942,1,1,2,3,Suburb North,Unfurnished,34,9,2700465.01
1094,3421,4,2,2,0,Suburb South,Unfurnished,26,8,10992274.74
1095,4101,5,3,3,3,Suburb North,Semi-Furnished,4,7,19627892.09
1096,4264,5,1,2,2,Suburb South,Semi-Furnished,2,9,16918960.96
1097,4433,6,2,4,3,Tech Park Area,Fully-Furnished,4,2,26454619.97
1098,2536,4,4,4,3,Old Town,Semi-Furnished,13,2,7645998.86
1099,2792,2,2,1,3,Tech Park Area,Fully-Furnished,33,4,11008220.96
1100,1352,3,3,1,1,Riverside,Unfurnished,34,3,4183939.25
1101,3069,2,2,2,2,Downtown,Fully-Furnished,15,3,16153190.9
1102,455,6,3,3,2,Suburb North,Fully-Furnished,35,4,1853970.27
1103,2122,5,3,3,0,Downtown,Semi-Furnished,14,4,10475110.76
1104,4429,1,1,4,2,Old Town,Fully-Furnished,13,7,14780178.89
1105,1550,2,2,4,1,Countryside,Unfurnished,27,5,2806631.48
1106,2412,1,1,2,3,Suburb South,Unfurnished,12,9,8005282.33
1107,3437,2,2,3,0,Industrial Zone,Unfurnished,11,6,9264541.12
1108,1219,1,1,1,3,Riverside,Semi-Furnished,25,1,4383534.52
1109,1012,6,6,1,0,City Center,Semi-Furnished,1,1,7023873.29
1110,3577,6,1,2,1,Suburb North,Semi-Furnished,9,10,17092181.34
1111,3695,1,1,3,0,Riverside,Unfurnished,30,9,13860985.04
1112,3790,2,2,3,3,Suburb South,Unfurnished,3,8,14786632.29
1113,3020,5,1,1,0,Suburb North,Fully-Furnished,18,1,11841416.04
1114,3876,4,2,1,1,Downtown,Unfurnished,27,6,15012950.76
1115,3134,3,2,4,0,Countryside,Unfurnished,7,3,6636596.84
1116,4365,3,3,1,2,Suburb North,Semi-Furnished,5,0,17194006.34
1117,1179,4,4,3,1,City Center,Unfurnished,19,9,7073637.08
1118,1876,1,1,4,2,Industrial Zone,Fully-Furnished,4,0,5945857.92
1119,4456,2,2,2,2,Suburb South,Semi-Furnished,28,7,14752532.65
1120,913,5,4,3,1,Suburb North,Semi-Furnished,8,2,4123974.42
1121,1894,3,3,4,3,City Center,Fully-Furnished,40,5,8912463.11
1122,4316,6,2,4,3,Tech Park Area,Semi-Furnished,34,8,19505007.55
1123,2646,2,2,1,3,Tech Park Area,Fully-Furnished,14,1,11719016.07
1124,461,2,1,3,3,Suburb South,Unfurnished,3,5,1566056.29
1125,3928,2,2,4,1,Tech Park Area,Semi-Furnished,15,3,18431731.63
1126,678,6,2,1,1,City Center,Fully-Furnished,1,6,4963985.88
1127,3322,1,1,4,1,Downtown,Unfurnished,23,2,11541422.48
1128,765,1,1,2,1,Countryside,Fully-Furnished,8,8,2198801.43
1129,1676,4,4,3,3,Downtown,Semi-Furnished,7,2,8440210.97
